HowTo,WhatIS,CLEF2018,CLEF2016,Symptoms,Diseases,CLEF2014,CLEF2013
how to circumcision,prostate,affective treatments for chronic lyme disease,inguinal hernia laparoscopic with mesh surgery reviews,weird sounds when breathing,asthma wheezing,acute renal failure,abnominal pain and helicobacter pylori and cancer
how to lower testosterone,premature ejaculation,anemia diet therapy,do I need general anaesthetic for anal skin tag removal,child make hissing sound when breathing,,advices for patient with acute infartus myocardi,acidosis and metastasic adeno carcinoma
how to increase testosterone,prostate cancer,ankle avulsion fracture healing time,headache that only goes away with blood loss,red lumps on nose,basal cell carcinoma,alcohol withdrawal seizures,aortic stenosis and treatment
how to shrink prostate,testosterone,antiandrogen therapy for prostate cancer,"rasping, painful cough when i lay down",lump with blood spots on nose,,anoxic brain injury,aspiration pneumonia and pharyngeal dysphagia
how to cure premature ejaculation,erectile dysfunction,anxiety coping skills,how much water per day can i drink safely,baby white dot in iris,bilateral cataracts,aortic stenosis,asystolic arrest
how to erect penis,circumcision,breast reduction and lift,natural supplement that works like 5 Hour Energy,heavy and squeaky breath,bronchiolitis,aortic valve replacement,bilateral infiltrates and x-ray
how to prevent erectile dysfunction,semen,common medication errors,coughing up blood ONLY during menstruation,toddler having squeaky breath,bronchiolitis (caused by rsv),bilateral pulmonary contusions and safety belt,bruises and raccoon eyes and blood disease
how to treat impotence,impotence,delayed onset muscle soreness,medication for thyroid for young people,black tooth,caries,bleeding after hip operation,chest pain and liver transplantation
how to stretch foreskin ,psa level,do allergies cause migraines,white pimple like spot that wont pop and isn't soft,cavity problem,,causes for gynecolocigal bleeding,chills and gallstones
how to lower estrogen,foreskin,drug addiction organization,ways to relieve unrelenting pain not using opiates,eye iris large,cataract,causes for oesophagus bleeding,chronic alcoholic induced pancreatitis and jaundice
how to get rid of yeast infection,white discharge,drug food interaction,TSH 0.04 go to hospital,cloudy cornea and vision problem,,cerebral aneurysm,chronic renal insufficiency
how to delay period,uterus,emotional and mental disorders,myth that doctors or surgeons will do less to keep you alive if you are an organ donor,cloudy pupil affecting vision,,cerebrovascular accident,clots in jugular and HIV
how to relieve period cramps,cervix,food allergy test,"heavily bloated, flatulence, and my stools are often very soft with a little bright red blood after i eat",yellow thick eye leakage,conjunctivitis,chronic duodenal ulcer,coronary artery disease and bypass with grafting
how to strengthen pelvic floor,endometriosis,four month infant running nose,rolled ankle with lapidus bunionectomy recovery time,red itchy eyes,,chronic lymphocytic leukemia and hereditarity,coronary artery disease and myocardial infarction
how to reduce menstrual pain ,menopause,head and neck cancer,given herpes drugs for Bell's Palsy but don't have herpes,yellow gunk coming from one eye itchy,,complications of type 1 diabetes mellitus,dysplasia and multiple sclerosis
how to bring periods,cyst,health benefits of spirulina,how does bacteremia occur when wiping anus,child cough and whistle during sleep,croup stridor barking cough,coronary artery bypass,endocarditis
how to stop discharge,yeast infection,health effects of ionized water therapy,can I take Tylenol Cold and Benylin at same time,infant difficulty breathing,,coronary artery disease,erythema and necrosis and diabetes mellitus
how to ease labor pain,placenta,high protein diet and its human health effects,painkillers stronger than oxycodone,baby red blotch on face,hemangioma,diabetes type 1 and heart problems,facial cuts and scar tissue
how to manage pcos,pcos,how does smoking cause hypertension,why are people with muscular dystrophy not given anabolic steroids,raised red lumps skin,,dizziness and hypotension,frothy sputum and care
how to delay menopause,periods,infectious disease prevention,can having a cold interfere with hep b test,red spot baby face,,foramen ovale,gastritis and bloody stool and ASA
how to lose weight,vitamin a,involuntary trembling or quivering,"combat boots gave me bumps, blisters and wax-like feeling on pinky toe",irritation with contact lenses,keratitis,gastrointestinal bleed,hepatosplenomegaly
how to gain weight,protein,ketamine and its potential for abuse,5 year olds abdominal pain cleared by doctors,eyes red blood vessels,,group a streptococcus bacteremi,hypogammaglobulinemia
how to lower cholesterol,calories,liver function test uses,what causes dizzy Effexor side effects,red bloodshot eyes,non-ulcerative sterile keratitis,hepatic encephalopathy,hypothyreoidism
how to keep kidneys healthy,nutrition,long term effects of gonhrrea,explain dying from Alzheimer's Disease,crusty skin patches,nummular eczema,how can I avoid small bowel obstruction,Incision and care
how to digest food,carbs,marijuana's effects on mental health,"had right-side thyroid removed, now lost 8lbs in month",scaly skin,,intermittent abdominal pain,lightheadedness and symptom
how to meal plan,cholesterol,normal lab values,weird symptoms that doctor can't diagnose,weird brown patches on skin,,L common carotid aneurysm,metabolic acidosis
how to calculate calories,vitamin d,omega 3 fatty acids,pneumonia 3 times within a year. Should I be concerned,eye are shaking,nystagmus,L hemopneumothorax,MI and hereditary
how to lower ldl,keto,orlistat drug profile,concentration better after mononucleosis,involuntary rapid left-right eye motion,,myocardial infarction,nausea and vomiting and hematemesis
